measure,card_count,clients,layout_lanes,description,display_folder,format_string,measure_dependencies,direct_tables,upstream_tables,source_class,numeric_literals,formula

D-E-DAF-B,2,DAF,DAF — estoque/logística; Rodapé sobreposto,Dias de Estoque DAF Beattys,ALL\0.0.MIFC\DAF\Estoque,0.000,E-B-DAF; P-M-DAF,,DAF; DAF SLITTERS,BANCO/CÁLCULO,2; 0,"-- Dias de Estoque DAF Beattys var valor = [E-B-DAF] var producao = [P-M-DAF] / 2 RETURN IF( valor / producao = BLANK(),0, valor / producao )"

D-E-DAF-CL,2,DAF,DAF — estoque/logística; Rodapé sobreposto,Dias de Estoque DAF Cantilever,ALL\0.0.MIFC\DAF\Estoque,0.000,E-CL-DAF; P-M-DAF,,DAF; DAF SLITTERS,BANCO/CÁLCULO,2,-- Dias de Estoque DAF Cantilever var valor = [E-CL-DAF] var producao = [P-M-DAF] / 2 RETURN valor / producao

D-E-DAF-P.I,2,DAF,DAF — estoque/logística; Rodapé sobreposto,Dias de Estoque DAF Pintura Input,ALL\0.0.MIFC\DAF\Estoque,0.000,E-PI-DAF; P-M-DAF,,DAF; DAF SLITTERS,BANCO/CÁLCULO,2,-- Dias de Estoque DAF Pintura Input var valor = [E-PI-DAF] var producao = [P-M-DAF] / 2 RETURN valor / producao

D-E-DAF-REB,2,DAF,DAF — estoque/logística; Rodapé sobreposto,Dias de Estoque DAF Rebitagem,ALL\0.0.MIFC\DAF\Estoque,,E-REB-DAF; P-M-DAF,,DAF; DAF SLITTERS,BANCO/CÁLCULO,2,-- Dias de Estoque DAF Rebitagem var valor = [E-REB-DAF] var producao = [P-M-DAF] / 2 RETURN valor / producao

D-E-FH-B,1,Volvo FH,Volvo FH — estoque/logística,Dias de Estoque FH Beattys,ALL\0.0.MIFC\FH\Estoque,0.000,E-B-FH; P-M-FH,,FH,BANCO/CÁLCULO,2; 0,"-- Dias de Estoque FH Beattys var valor = [E-B-FH] var producao = [P-M-FH] / 2 RETURN IF( valor/producao = BLANK(), 0, valor/producao )"

D-E-FH-CL,1,Volvo FH,Volvo FH — estoque/logística,Dias de Estoque FH Cantilever,ALL\0.0.MIFC\FH\Estoque,0.000,E-CL-FH; P-M-FH,,FH,BANCO/CÁLCULO,2,-- Dias de Estoque FH Cantilever var valor = [E-CL-FH] var producao = [P-M-FH] / 2 RETURN valor / producao

D-E-FH-P.A,1,Volvo FH,Volvo FH — estoque/logística,Dias de Estoque VM P.A,ALL\0.0.MIFC\FH\Estoque,0.000,E-P.A-FH; P-M-FH,,FH,BANCO/CÁLCULO,2,-- Dias de Estoque VM P.A var valor = [E-P.A-FH] var producao = [P-M-FH] / 2 RETURN valor / producao

D-E-FH-P.I,1,Volvo FH,Volvo FH — estoque/logística,Dias de Estoque FH Pintura Input,ALL\0.0.MIFC\FH\Estoque,0.000,E-PI-FH; P-M-FH,,FH,BANCO/CÁLCULO,2,-- Dias de Estoque FH Pintura Input var valor = [E-PI-FH] var producao = [P-M-FH] * 2 RETURN valor / producao

D-E-SCA-B,1,Scania,Scania — estoque/logística,Dias de Estoque Scania Beattys,ALL\0.0.MIFC\SCANIA\Estoque,0.000,E-B-SCA; P-M-SCA,,SCANIA,BANCO/CÁLCULO,2; 0,"-- Dias de Estoque Scania Beattys var valor = [E-B-SCA] var producao = [P-M-SCA] / 2 RETURN IF( valor / producao = BLANK(),0, valor / producao )"

D-E-SCA-CL,1,Scania,Scania — estoque/logística,Dias de Estoque Scania Cantilever,ALL\0.0.MIFC\SCANIA\Estoque,0.000,E-CL-SCA; P-M-SCA,,SCANIA,BANCO/CÁLCULO,2,-- Dias de Estoque Scania Cantilever var valor = [E-CL-SCA] var producao = [P-M-SCA] * 2 RETURN valor / producao

D-E-SCA-P.A,1,Scania,Scania — estoque/logística,Dias de Estoque Scania P.A,ALL\0.0.MIFC\SCANIA\Estoque,0.000,E-P.A-SCA; P-M-SCA,,SCANIA,BANCO/CÁLCULO,2,-- Dias de Estoque Scania P.A var valor = [E-P.A-SCA] var producao = [P-M-SCA] / 2 RETURN valor / producao

D-E-SCA-P.I,1,Scania,Scania — estoque/logística,Dias de Estoque Scania Pintura Input,ALL\0.0.MIFC\SCANIA\Estoque,0.000,E-PI-SCA; P-M-SCA,,SCANIA,BANCO/CÁLCULO,2,-- Dias de Estoque Scania Pintura Input var valor = [E-PI-SCA] var producao = [P-M-SCA] / 2 RETURN valor / producao

D-E-SCA-REB,1,Scania,Scania — estoque/logística,Dias de Estoque Scania Rebitagem,ALL\0.0.MIFC\SCANIA\Estoque,0.000,E-REB-SCA; P-M-SCA,,SCANIA,BANCO/CÁLCULO,2,-- Dias de Estoque Scania Rebitagem var valor = [E-REB-SCA] var producao = [P-M-SCA] / 2 RETURN valor / producao

D-E-VM-B,1,Volvo VM,Volvo VM — estoque/logística,Dias de Estoque VM Beattys,ALL\0.0.MIFC\VM\Estoque,0.000,E-B-VM; P-M-VM,,VM,BANCO/CÁLCULO,2; 0,"-- Dias de Estoque VM Beattys var valor = [E-B-VM] var producao = [P-M-VM] / 2 RETURN IF( valor / producao = BLANK(),0, valor / producao )"

D-E-VM-CL,1,Volvo VM,Volvo VM — estoque/logística,Dias de Estoque VM Cantilever,ALL\0.0.MIFC\VM\Estoque,0.000,E-CL-VM; P-M-VM,,VM,BANCO/CÁLCULO,2,-- Dias de Estoque VM Cantilever var valor = [E-CL-VM] var producao = [P-M-VM] / 2 RETURN valor / producao

D-E-VM-P.I,1,Volvo VM,Volvo VM — estoque/logística,Dias de Estoque VM Pintura Input,ALL\0.0.MIFC\VM\Estoque,0.000,E-PI-VM; P-M-VM,,VM,BANCO/CÁLCULO,2,-- Dias de Estoque VM Pintura Input var valor = [E-PI-VM] var producao = [P-M-VM] / 2 RETURN valor / producao

E-D-P-LCT,1,Volvo FH,Volvo FH — estoque/logística,Estoque em dias Pós LCT,ALL\0.0.MIFC\ALL\Estoque,0.000,E-P-LCT; P-M-FH,,BI_MIFC_LCT_POS_STOCK; FH,BANCO/CÁLCULO,,-- Estoque em dias Pós LCT [E-P-LCT]/[P-M-FH]

E-D-P-RF2,1,Volvo FH,Volvo FH — estoque/logística,,ALL\0.0.MIFC\ALL\Estoque,0.000,Pares RF2; P-M-FH,,FH; Relatorio_Item RF2,BANCO/CÁLCULO,2,VAR pecas_rf2 = [Pares RF2] * 2 var dias = pecas_rf2 / [P-M-FH] return dias

E-P-D-DAF-EMB,2,DAF,DAF — estoque/logística; Rodapé sobreposto,Estoque em Peças em Dias DAF Embalagem,ALL\0.0.MIFC\DAF\Estoque,0.000,DAF; P-M-DAF-REV 2,,Calendar; DAF; DAF SLITTERS,BANCO/CÁLCULO,2; 0,"-- Estoque em Peças em Dias DAF Embalagem VAR pecas = [DAF] * 2 var demanda = [P-M-DAF-REV 2] return IF( pecas / demanda = BLANK(),0, pecas / demanda )"

E-P-D-DAF-M3,2,DAF,DAF — estoque/logística; Rodapé sobreposto,Estoque em Peças em Dias DAF Mesa 3,ALL\0.0.MIFC\DAF\Estoque,,qtd_segregação_daf; P-M-DAF-REV 2,,Calendar; DAF; DAF SLITTERS; Segregacao,BANCO/CÁLCULO,2,-- Estoque em Peças em Dias DAF Mesa 3 VAR pecas = [qtd_segregação_daf] var demanda = [P-M-DAF-REV 2] return pecas / demanda

E-P-D-DAF-RF3,2,DAF,DAF — estoque/logística; Rodapé sobreposto,Estoque em Peças em Dias na DAF Pós Rollformer 3,ALL\0.0.MIFC\DAF\Estoque,0.000,DAF; P-M-DAF-REV 2,,Calendar; DAF; DAF SLITTERS,BANCO/CÁLCULO,2,-- Estoque em Peças em Dias na DAF Pós Rollformer 3 VAR pecas = [DAF] * 2 var demanda = [P-M-DAF-REV 2] return pecas / demanda

E-P-D-DAF-STJ,2,DAF,DAF — estoque/logística; Rodapé sobreposto,Estoque em Peças em Dias DAF Stenhoj,ALL\0.0.MIFC\DAF\Estoque,,DAF; P-M-DAF-REV 2,,Calendar; DAF; DAF SLITTERS,BANCO/CÁLCULO,2,-- Estoque em Peças em Dias DAF Stenhoj VAR pecas = [DAF] * 2 var demanda = [P-M-DAF-REV 2] return pecas / demanda

E-P-D-FH-EMB,1,Volvo FH,Volvo FH — estoque/logística,Estoque em Peças em Dias FH Embalagem,ALL\0.0.MIFC\FH\Estoque,0.000,FH; P-M-FH-REV 2,,Calendar; FH,BANCO/CÁLCULO,2; 0,"-- Estoque em Peças em Dias FH Embalagem VAR pecas = [FH] * 2 var demanda = [P-M-FH-REV 2] return IF( pecas / demanda = BLANK(),0, pecas / demanda )"

E-P-D-FH-M3,1,Volvo FH,Volvo FH — estoque/logística,Estoque em Peças em Dias FH Mesa 3,ALL\0.0.MIFC\FH\Estoque,0.000,qtd_segregação_fh; P-M-FH-REV 2,,Calendar; FH; Segregacao,BANCO/CÁLCULO,2,-- Estoque em Peças em Dias FH Mesa 3 VAR pecas = [qtd_segregação_fh] var demanda = [P-M-FH-REV 2] return pecas / demanda

