kind,table,name,data_type,format,hidden_or_inactive,source_or_target,dependencies_or_definition,status
TABLE,1-Measure,1-Measure,table,,false,C:\Users\Alison.Silva02\Downloads\MIFC.SemanticModel\definition\tables\1-Measure.tmdl,1 colunas; 309 medidas; 1 partições; 0 hierarquias,INVENTARIADO
COLUMN,1-Measure,Column,,0,false,[Column],summarizeBy=sum,INVENTARIADO
MEASURE,1-Measure,P-RF3,measure,0,false,ALL\Máquinas\0.Roll Former 3,DESCRIPTION; RAIL_ID,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-D,measure,0,false,ALL\0.0.MIFC\ALL,Dia_Min,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,TKT-C-RF3,measure,0.0000000000,false,ALL\Máquinas\0.Roll Former 3,D-P-RF3; T-P-M-RF3,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-P-M-RF3,measure,0,false,ALL\Máquinas\0.Roll Former 3,Máquina; Tempo Disponível (Min),INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,D-P-RF3,measure,0,false,ALL\Máquinas\0.Roll Former 3,P-T-D,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-C-RF3,measure,0.0000000000,false,ALL\Máquinas\0.Roll Former 3,P-RF3; T-D-L-RF3,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-R-RF3,measure,0,false,ALL\Máquinas\0.Roll Former 3,T-D-L-RF3; T-P-M-RF3,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,P-P-RF3,measure,,false,ALL\Máquinas\0.Roll Former 3,,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-D-L-RF3,measure,,false,ALL\Máquinas\0.Roll Former 3,Dia_Min; F-H; P-P-RF3,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,P-R-RF3,measure,,false,ALL\Máquinas\0.Roll Former 3,D-P-RF3; P-RF3,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-C-R-RF3,measure,0.0000000000,false,ALL\Máquinas\0.Roll Former 3,P-R-RF3; T-R-RF3,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,P-B1,measure,0,false,ALL\Máquinas\Beatty 1,DESCRIPTION; RAIL_ID,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,P-P-B1,measure,,false,ALL\Máquinas\Beatty 1,,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-P-M-B1,measure,0,false,ALL\Máquinas\Beatty 1,Máquina; Tempo Disponível (Min),INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-D-L-B1,measure,,false,ALL\Máquinas\Beatty 1,Dia_Min; F-H; P-P-B1,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-R-B1,measure,,false,ALL\Máquinas\Beatty 1,T-D-L-B1; T-P-M-B1,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,D-P-B1,measure,0,false,ALL\Máquinas\Beatty 1,P-VM-F,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,TKT-C-B1,measure,0.0000000000,false,ALL\Máquinas\Beatty 1,D-P-B1; T-P-M-B1,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-C-B1,measure,0.0000000000,false,ALL\Máquinas\Beatty 1,P-B1; T-D-L-B1,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,P-R-B1,measure,0,false,ALL\Máquinas\Beatty 1,D-P-B1; P-B1,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,D-P-B2,measure,0,false,ALL\Máquinas\Beatty 2,P-DAF-S,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,P-B2,measure,0,false,ALL\Máquinas\Beatty 2,DESCRIPTION; RAIL_ID,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,P-P-B2,measure,,false,ALL\Máquinas\Beatty 2,,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,P-R-B2,measure,0,false,ALL\Máquinas\Beatty 2,D-P-B2; P-B2,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-D-L-B2,measure,,false,ALL\Máquinas\Beatty 2,Dia_Min; F-H; P-P-B2,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-P-M-B2,measure,0,false,ALL\Máquinas\Beatty 2,Máquina; Tempo Disponível (Min),INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-R-B2,measure,,false,ALL\Máquinas\Beatty 2,T-D-L-B2; T-P-M-B2,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,TKT-C-B2,measure,0.0000000000,false,ALL\Máquinas\Beatty 2,D-P-B2; T-P-M-B2,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-C-B2,measure,0.0000000000,false,ALL\Máquinas\Beatty 2,P-B2; T-D-L-B2,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,D-P-B3,measure,0,false,ALL\Máquinas\Beatty 3,P-SCA-F,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,P-B3,measure,0,false,ALL\Máquinas\Beatty 3,DESCRIPTION; RAIL_ID,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,P-P-B3,measure,,false,ALL\Máquinas\Beatty 3,,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,P-R-B3,measure,0,false,ALL\Máquinas\Beatty 3,D-P-B3; P-B3,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-C-B3,measure,0.0000000000,false,ALL\Máquinas\Beatty 3,P-B3; T-D-L-B3,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-D-L-B3,measure,,false,ALL\Máquinas\Beatty 3,Dia_Min; F-H; P-P-B3,INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-P-M-B3,measure,0,false,ALL\Máquinas\Beatty 3,Máquina; Tempo Disponível (Min),INVENTARIADO — validação funcional nos gates
MEASURE,1-Measure,T-R-B3,measure,,false,ALL\Máquinas\Beatty 3,T-D-L-B3; T-P-M-B3,INVENTARIADO — validação funcional nos gates
