visual_id,x,y,width,height,measure,client,layout_lane,filter_context,description,source_class,upstream_tables,audit_note

e6c3f3402eb068eafdda,6630.0,1606.667,126.667,53.333,T-LPP2,Volvo FH,Volvo FH — tempo de processo,Calendar[Date],Tempo de Pintura,MISTO: banco + parâmetro,DAF; DAF SLITTERS; FH; Máquinas; SCANIA; VM,

dacab13316309277c8d3,3524.0,1610.0,1122.0,54.0,T-P.A,Volvo FH,Volvo FH — tempo de processo,Calendar[Date],Tempo de P.A,MISTO: banco + parâmetro,FH; Máquinas; SCANIA,

570a905042f23e101023,8036.667,1613.333,126.667,53.333,T-STJ,Volvo FH,Volvo FH — tempo de processo,Calendar[Date],Tempo de Stenhoj,MISTO: banco + parâmetro,DAF; DAF SLITTERS; FH; Máquinas; SCANIA,

1d6b3118f2a11813c190,1550.0,1614.0,124.0,54.0,T-RF3,Volvo FH,Volvo FH — tempo de processo,Calendar[Date],Tempo de Rollformer 3,MISTO: banco + parâmetro,DAF; DAF SLITTERS; FH; Máquinas; SCANIA; VM,

b1fa73b7a748d91981a6,1982.0,1614.0,124.0,54.0,T-M3,Volvo FH,Volvo FH — tempo de processo,Calendar[Date],Tempo Mesa 3,CONSTANTE ou medida derivada,,

0a53419bdab342d93f54,2398.0,1616.0,122.0,54.0,T-B4,Volvo FH,Volvo FH — tempo de processo,Calendar[Date],Tempo de Beatty 4,MISTO: banco + parâmetro,FH; Máquinas,

da67aa096ed778077a96,2968.0,1616.0,122.0,54.0,T-B4,Volvo FH,Volvo FH — tempo de processo,Calendar[Date],Tempo de Beatty 4,MISTO: banco + parâmetro,FH; Máquinas,

df4e425fe828fdf9e29c,920.0,1620.0,125.0,52.5,T-LCT/RF2,Volvo FH,Volvo FH — tempo de processo,Calendar[Date],Tempo de LCT/RF2,MISTO: banco + parâmetro,FH; Máquinas,

0788729a56a4cad7db2e,1170.0,1620.0,125.0,52.5,T-LCT/RF2,Volvo FH,Volvo FH — tempo de processo,Calendar[Date],Tempo de LCT/RF2,MISTO: banco + parâmetro,FH; Máquinas,

0777b1992e92cd40eed7,8468.333,1621.667,126.667,53.333,T-STJ,Volvo FH,Volvo FH — tempo de processo,Calendar[Date],Tempo de Stenhoj,MISTO: banco + parâmetro,DAF; DAF SLITTERS; FH; Máquinas; SCANIA,

a9ca636dd10b628a1234,576.667,1640.0,353.333,80.0,Q-D-FH,Volvo FH,Volvo FH — estoque/logística,MP[Cliente]=FH,,BANCO/CÁLCULO,Calendar; DAF SLITTERS; FH; Lotes; SCANIA; VM,

9e20e93d978ec96d9aef,371.667,1646.667,280.0,60.0,T-T,Volvo FH,Volvo FH — estoque/logística,MP[Cliente]=FH,Tempo de Transporte em Dias,CONSTANTE ou medida derivada,,

f2b469e271c7fbbb6237,2520.0,1662.5,450.0,70.0,D-E-FH-B,Volvo FH,Volvo FH — estoque/logística,,Dias de Estoque FH Beattys,BANCO/CÁLCULO,FH,

51757c07f885bd6587c5,6008.0,1664.0,126.0,54.0,D-E-FH-CL,Volvo FH,Volvo FH — estoque/logística,,Dias de Estoque FH Cantilever,BANCO/CÁLCULO,FH,

2a58244d49a27c29c1f2,5502.5,1665.0,255.0,60.0,T-M,Volvo FH,Volvo FH — estoque/logística,,Tempo de Movimentação,CONSTANTE ou medida derivada,,

64fe752232b9609c5890,6889.0,1665.5,256.0,60.0,T-M,Volvo FH,Volvo FH — estoque/logística,,Tempo de Movimentação,CONSTANTE ou medida derivada,,

303831b42f82050ea689,8596.667,1666.667,256.667,60.0,T-M,Volvo FH,Volvo FH — estoque/logística,,Tempo de Movimentação,CONSTANTE ou medida derivada,,

75a6948392048d4a28f8,3085.0,1667.5,255.0,60.0,T-M,Volvo FH,Volvo FH — estoque/logística,,Tempo de Movimentação,CONSTANTE ou medida derivada,,

540097a7acae4b6fd1f9,1290.0,1668.0,110.0,58.0,T-M,Volvo FH,Volvo FH — estoque/logística,,Tempo de Movimentação,CONSTANTE ou medida derivada,,

9dadde5fa53fb2344efd,3311.429,1668.571,214.286,60.0,D-E-FH-P.A,Volvo FH,Volvo FH — estoque/logística,,Dias de Estoque VM P.A,BANCO/CÁLCULO,FH,

621d291434cd78e4cf3b,6501.667,1670.0,126.667,53.333,D-E-FH-P.I,Volvo FH,Volvo FH — estoque/logística,,Dias de Estoque FH Pintura Input,BANCO/CÁLCULO,FH,

286d08ac83b300460e80,7770.0,1670.0,255.0,60.0,E-P-D-FH-STJ,Volvo FH,Volvo FH — estoque/logística,Operações[Dados ]=Ag. Stenhøj,Estoque em Peças em Dias na FH Stenhoj,BANCO/CÁLCULO,Calendar; FH,

2a6f68d9a0f5357a4e93,9710.0,1670.0,182.5,62.5,T-T-FH,Volvo FH,Volvo FH — estoque/logística,,Tempo Total FH,MISTO: banco + parâmetro,BI_MIFC_LCT_POS_STOCK; Calendar; DAF SLITTERS; Dados de embarque; FH; Lotes; MP; Operações; Relatorio_Item RF2; SCANIA; Segregacao; VM,

9c4cb53e665d79ae679b,1865.0,1671.667,123.333,55.0,E-P-D-FH-M3,Volvo FH,Volvo FH — estoque/logística,,Estoque em Peças em Dias FH Mesa 3,BANCO/CÁLCULO,Calendar; FH; Segregacao,

a21a846e88671448ecd7,1418.0,1672.0,124.0,52.0,E-D-P-RF2,Volvo FH,Volvo FH — estoque/logística,"Calendar[Date]; MP[MP]=4-MP600450SL411-0,4-MP600760SL445-0",,BANCO/CÁLCULO,FH; Relatorio_Item RF2,

7151870f8be8df0577b4,1670.0,1675.0,156.667,55.0,E-P-D-FH-RF3,Volvo FH,Volvo FH — estoque/logística,Operações[Dados ]=Roll Former 3,Estoque em Peças em Dias na FH Pós Rollformer 3,BANCO/CÁLCULO,Calendar; FH,

4bae6f89b00d9be4d5ca,1044.0,1676.0,124.0,52.0,E-D-P-LCT,Volvo FH,Volvo FH — estoque/logística,Calendar[Date],Estoque em dias Pós LCT,BANCO/CÁLCULO,BI_MIFC_LCT_POS_STOCK; FH,

6ff19a1f0ceed8f834a6,8160.0,1676.667,150.0,60.0,T-M,Volvo FH,Volvo FH — estoque/logística,,Tempo de Movimentação,CONSTANTE ou medida derivada,,

f4ed4ae659fc249abdab,9220.0,1676.667,256.667,60.0,T-M,Volvo FH,Volvo FH — estoque/logística,,Tempo de Movimentação,CONSTANTE ou medida derivada,,

54aae782bb14b76d6972,9586.0,1678.0,128.0,54.0,E-P-D-FH-EMB,Volvo FH,Volvo FH — estoque/logística,Operações[Dados ]=Estoque FG; Dados de embarque[Data],Estoque em Peças em Dias FH Embalagem,BANCO/CÁLCULO,Calendar; FH,

741a4331c4031bc64ecc,241.429,1678.571,112.857,52.857,T-B,Volvo FH,Volvo FH — estoque/logística,,Tempo Beneficiador,CONSTANTE ou medida derivada,,

d4210aa06c14fd582474,6628.333,1711.667,126.667,53.333,T-LPP2,Volvo VM,Volvo VM — tempo de processo,Calendar[Date],Tempo de Pintura,MISTO: banco + parâmetro,DAF; DAF SLITTERS; FH; Máquinas; SCANIA; VM,

70fe0eee33180ed26adf,2544.286,1721.429,121.429,54.286,T-B1,Volvo VM,Volvo VM — tempo de processo,Calendar[Date],Tempo de Beatty 1,MISTO: banco + parâmetro,Máquinas; VM,

620f5e99876cf9079f05,1980.0,1722.0,124.0,54.0,T-M3,Volvo VM,Volvo VM — tempo de processo,Calendar[Date],Tempo Mesa 3,CONSTANTE ou medida derivada,,

6ed12aeaada70bf36d83,8312.5,1723.75,125.0,55.0,T-EMB-VM,Volvo VM,Volvo VM — tempo de processo,Calendar[Date],Tempo de Embalagem VM,BANCO/CÁLCULO,VM,

647ce91e2853ff09b5d2,3172.5,1725.0,290.0,55.0,T-B1,Volvo VM,Volvo VM — tempo de processo,Calendar[Date],Tempo de Beatty 1,MISTO: banco + parâmetro,Máquinas; VM,

b56c9a691de728cf4379,5220.0,1725.0,286.667,50.0,T-CNC,Volvo VM,Volvo VM — tempo de processo,Calendar[Date],Tempo de CNC,MISTO: banco + parâmetro,DAF; DAF SLITTERS; Máquinas,

1eaf4f0cef6af777d677,1550.0,1726.0,124.0,54.0,T-RF3,Volvo VM,Volvo VM — tempo de processo,Calendar[Date],Tempo de Rollformer 3,MISTO: banco + parâmetro,DAF; DAF SLITTERS; FH; Máquinas; SCANIA; VM,

770b3c9b778556914b18,2662.0,1760.0,500.0,70.0,D-E-VM-B,Volvo VM,Volvo VM — estoque/logística,,Dias de Estoque VM Beattys,BANCO/CÁLCULO,VM,

bd9e8f24ff523b591b3a,6008.0,1772.0,128.0,54.0,D-E-VM-CL,Volvo VM,Volvo VM — estoque/logística,,Dias de Estoque VM Cantilever,BANCO/CÁLCULO,VM,

5ce96d0fc36e44874205,5502.5,1772.5,255.0,60.0,T-M,Volvo VM,Volvo VM — estoque/logística,,Tempo de Movimentação,CONSTANTE ou medida derivada,,

404dfb0bac48596af35f,9707.5,1775.0,182.5,62.5,T-T-VM,Volvo VM,Volvo VM — estoque/logística,,Tempo Total VM,MISTO: banco + parâmetro,Calendar; DAF SLITTERS; Dados de embarque; FH; Lotes; MP; Operações; SCANIA; VM,

d9f4c0874ee344c4e5a0,6893.0,1775.5,256.0,60.0,T-M,Volvo VM,Volvo VM — estoque/logística,,Tempo de Movimentação,CONSTANTE ou medida derivada,,

a11413d4c000f1ed4a63,364.0,1776.0,282.0,60.0,T-T,Volvo VM,Volvo VM — estoque/logística,MP[Cliente]=FH,Tempo de Transporte em Dias,CONSTANTE ou medida derivada,,

98dfd3063e6193897fb9,8596.667,1776.667,256.667,60.0,T-M,Volvo VM,Volvo VM — estoque/logística,,Tempo de Movimentação,CONSTANTE ou medida derivada,,

59cd0387868167383bc9,566.0,1780.0,356.0,60.0,Q-D-VM,Volvo VM,Volvo VM — estoque/logística,MP[Cliente]=VM,Quantidade de Dias VM,BANCO/CÁLCULO,DAF SLITTERS; FH; Lotes; SCANIA; VM,

03950ee1f97804eb96c4,1290.0,1780.0,256.0,60.0,T-M,Volvo VM,Volvo VM — estoque/logística,,Tempo de Movimentação,CONSTANTE ou medida derivada,,

eeaeb78381f228f991e1,6500.0,1780.0,126.667,53.333,D-E-VM-P.I,Volvo VM,Volvo VM — estoque/logística,,Dias de Estoque VM Pintura Input,BANCO/CÁLCULO,VM,

5b3c8d40c82bf14fda50,9220.0,1783.333,256.667,60.0,T-M,Volvo VM,Volvo VM — estoque/logística,,Tempo de Movimentação,CONSTANTE ou medida derivada,,

2f77b4ff0c596d3284f6,9586.0,1784.0,128.0,54.0,E-P-D-VM-EMB,Volvo VM,Volvo VM — estoque/logística,Operações[Dados ]=Estoque FG; Dados de embarque[Data],Estoque em Peças em Dias VM Embalagem,BANCO/CÁLCULO,Calendar; VM,

e5c33c8290ea9e6cdfaa,1668.333,1785.0,143.333,55.0,E-P-D-VM-RF3,Volvo VM,Volvo VM — estoque/logística,Operações[Dados ]=Roll Former 3,Estoque em Peças em Dias na VM Pós Rollformer 3,BANCO/CÁLCULO,Calendar; VM,

e3686990c60db04a4c30,242.857,1785.714,112.857,52.857,T-B,Volvo VM,Volvo VM — estoque/logística,,Tempo Beneficiador,CONSTANTE ou medida derivada,,

9ebdb4ca8503158af84f,6628.333,1840.0,126.667,53.333,T-LPP2,Scania,Scania — tempo de processo,Calendar[Date],Tempo de Pintura,MISTO: banco + parâmetro,DAF; DAF SLITTERS; FH; Máquinas; SCANIA; VM,

72636f09f37e9cf45c7b,7362.5,1840.0,125.0,55.0,T-SCA-REB,Scania,Scania — tempo de processo,Calendar[Date],Tempo de Scania Rebitagem,MISTO: banco + parâmetro,Máquinas; SCANIA,

303566a8f2cb4dad05a1,8468.333,1840.0,126.667,53.333,T-STJ,Scania,Scania — tempo de processo,Calendar[Date],Tempo de Stenhoj,MISTO: banco + parâmetro,DAF; DAF SLITTERS; FH; Máquinas; SCANIA,

35a16312245827724853,1546.0,1842.0,124.0,54.0,T-RF3,Scania,Scania — tempo de processo,Calendar[Date],Tempo de Rollformer 3,MISTO: banco + parâmetro,DAF; DAF SLITTERS; FH; Máquinas; SCANIA; VM,

